City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,atyrau,47.1167,51.8833,13.01,67,0,2.0,KZ,1712770989
116,san patricio,28.017,-97.5169,24.95,39,0,12.64,US,1712770989
117,hasaki,35.7333,140.8333,6.27,59,60,2.26,JP,1712770990
118,kerikeri,-35.2268,173.9474,21.06,90,100,7.1,NZ,1712770857
119,jiagedaqi,50.4167,124.1167,1.1,64,47,0.73,CN,1712770990
120,leava,-14.3,-178.1667,28.81,80,98,5.54,WF,1712770990
121,buenavista,8.9769,125.4089,22.04,91,96,2.84,PH,1712770990
122,pandan,14.0453,124.1694,25.48,88,79,5.0,PH,1712770990
123,dublin,37.7021,-121.9358,21.98,60,0,1.54,US,1712770880
124,point pedro,9.8167,80.2333,28.77,72,74,4.06,LK,1712770990
125,vilhena,-12.7406,-60.1458,28.12,74,75,3.6,BR,1712770825
126,geraldton,-28.7667,114.6,25.23,29,75,9.77,AU,1712770991
127,weatherford,32.7593,-97.7972,12.69,93,100,3.58,US,1712770991
128,chibougamau,49.9168,-74.3659,6.79,61,75,5.14,CA,1712770928
129,iskateley,67.6803,53.1512,-13.88,96,50,2.68,RU,1712770890
130,port lincoln,-34.7333,135.8667,15.4,78,63,4.28,AU,1712770907
131,cuxhaven,53.8718,8.6909,11.65,71,20,3.09,DE,1712770991
132,gorham,43.6795,-70.4442,6.8,80,100,2.06,US,1712770991
133,hutchinson island south,27.2995,-80.2205,30.02,60,40,7.2,US,1712770992
134,laguna,38.421,-121.4238,22.79,57,0,2.06,US,1712770862
135,ust-nera,64.5667,143.2,-16.68,97,57,2.22,RU,1712770992
136,pemangkat,1.1667,108.9667,25.78,90,100,3.34,ID,1712770992
137,vorgashor,67.5833,63.95,-21.78,100,95,1.92,RU,1712770992
138,geneina,13.45,22.45,31.61,11,1,4.18,SD,1712770992
139,macia,-25.0269,33.0989,20.71,77,51,2.65,MZ,1712770993
140,sola,-13.8833,167.55,27.02,74,71,1.55,VU,1712770993
141,katsuura,35.1333,140.3,10.87,72,65,2.77,JP,1712770993
142,tubarjal,30.4999,38.216,19.82,40,64,8.97,SA,1712770993
143,bagrationovsk,54.3871,20.6437,9.75,72,100,5.68,RU,1712770993
144,mirnyy,62.5353,113.9611,0.69,98,100,3.58,RU,1712770993
145,gevrai,19.2667,75.75,33.87,23,67,5.99,IN,1712770993
146,souillac,-20.5167,57.5167,26.21,83,75,5.66,MU,1712770994
147,verkhnevilyuysk,63.4453,120.3167,-1.15,86,100,3.91,RU,1712770994
148,haiku-pauwela,20.9219,-156.3051,23.36,78,20,1.34,US,1712770932
149,al bayda',32.7627,21.7551,10.54,86,52,2.59,LY,1712770994
150,kharan,28.5833,65.4167,28.54,12,1,3.55,PK,1712770994
151,zeya,53.75,127.2667,-1.4,95,94,1.36,RU,1712770994
152,coronel suarez,-37.4547,-61.9334,17.2,29,100,4.94,AR,1712770994
153,emporia,38.4039,-96.1817,19.11,32,0,6.17,US,1712770995
154,fort bragg,35.139,-79.006,23.28,65,100,4.63,US,1712770995
155,chake chake,-5.2459,39.7666,27.51,85,91,3.45,TZ,1712770995
156,pangoa,-12.1167,-73.0,29.86,59,98,0.94,PE,1712770995
157,pesaro,43.9036,12.8903,16.08,84,100,1.79,IT,1712770995
158,uturoa,-16.7333,-151.4333,28.92,77,68,7.44,PF,1712770995
159,enewetak,11.3474,162.3373,27.16,81,100,10.03,MH,1712770995
160,port alfred,-33.5906,26.891,15.1,97,100,0.89,ZA,1712770996
161,puerto lleras,3.0223,-73.4044,35.18,39,31,2.12,CO,1712770996
162,ust'-barguzin,53.45,108.9833,-2.69,95,99,1.83,RU,1712770996
163,nemuro,43.3236,145.575,1.87,79,0,3.49,JP,1712770996
164,kievka,50.2619,71.5514,3.6,86,90,4.0,KZ,1712770996
165,coruripe,-10.1256,-36.1756,29.69,66,100,4.18,BR,1712770564
166,saint-benoit,-21.038,55.7194,25.06,81,73,0.96,RE,1712770997
167,marshall,34.3834,-86.3333,21.33,79,40,3.6,US,1712770997
168,muriti,-1.9833,32.9167,23.01,74,26,1.78,TZ,1712770997
169,pariaman,-0.619,100.12,26.03,88,100,5.14,ID,1712770997
170,vilyuchinsk,52.9306,158.4028,2.15,74,94,17.2,RU,1712770997
171,kingscliff,-28.2667,153.5667,17.89,59,2,3.09,AU,1712770997
172,ilulissat,69.2167,-51.1,-4.99,58,40,2.06,GL,1712770997
173,alindao,5.0267,21.2088,27.5,63,98,2.42,CF,1712770998
174,quellon,-43.1167,-73.6167,11.61,61,0,4.58,CL,1712770725
175,malacacheta,-17.8422,-42.0767,26.97,69,39,1.48,BR,1712770998
176,zhanga buqtyrma,49.6295,83.5248,3.98,95,100,1.22,KZ,1712770998
177,palora,-1.7,-77.9333,29.06,45,42,2.59,EC,1712770998
178,prienai,54.6333,23.95,11.15,70,66,5.48,LT,1712770998
179,sanming,26.2486,117.6186,19.06,77,96,0.72,CN,1712770998
180,aras-asan,8.8908,126.3033,23.72,87,100,1.74,PH,1712770999
181,dubbo,-32.25,148.6167,7.07,87,0,2.57,AU,1712770999
182,kapuskasing,49.4169,-82.4331,9.05,76,75,5.14,CA,1712770983
183,pisco,-13.7,-76.2167,25.01,78,0,5.14,PE,1712770999
184,cockburn town,21.4612,-71.1419,24.84,73,23,9.69,TC,1712771000
185,liuhe,42.2401,125.7172,8.41,67,100,4.0,CN,1712771000
186,anchorage,61.2181,-149.9003,0.75,88,100,0.0,US,1712770593
187,selfoss,63.9331,-20.9971,5.13,67,100,4.4,IS,1712771000
